Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Comment (optional) delays at departure,Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),Comment (optional) delays on arrival,"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
2017,6,PARIS MONTPARNASSE,BORDEAUX ST JEAN,207.434375,648,8,102,23.68627451,3.6140625,,161,36.22360248,12.1234375,"Ce mois-ci, l'OD a été touchée par:
Du 1er au  31 : Travaux de Mouthiers (1088 TGV ; 6789’)
Entre le 6 et le 16 : Dérangement d’aiguillages en raison des chaleurs à Paris Montparnasse (79 TGV ; 1502’)
Le 10 : accident de personne en gare de Poitiers (13 TGV ; 236’)
Le 12 : Accident de personne sur la ligne grande vitesse à St Léger (103 TGV ; 5531’)
Le 19 : Difficultés pour le centre de maintenance de fournir des rames compte tenu des retards (32 TGV ; 1006’)
Le 20 : Dérangement des installations sur la ligne grande vitesse à St Léger (24 TGV ; 280’)
Le 21 : Avarie caténaire en sortie de la gare de Paris Montparnasse (63 TGV ; 2001’)
Le 26 : Dérangement de signalisation à Monts (49 TGV ; 335’)
Le 27 : arrachement caténaire à Libourne (44 TGV ; 4345’)",0.16,0,0,0.8,0.04,0,118,44.8234463,59,22,2017-06,16,0,0,80,4,0
2017,6,LYON PART DIEU,RENNES,261.686747,83,0,52,16.42307692,11.21686747,,18,40.77777778,10.38554217,"Ce mois-ci, l'OD a été touchée par:
Le 12 : Accident de personne sur la ligne grande vitesse à St Léger (103 TGV ; 5531’)
Le 15: Dérangmetns d'installations consécutifs aux orages sur la lignes grande vitesse Paris Lyon (88 TGV ; 8796')
Le 19 : Difficultés pour le centre de maintenance de fournir des rames compte tenu des retards (32 TGV ; 1006’)
Le 20 : Dérangement des installations sur la ligne grande vitesse à St Léger (24 TGV ; 280’)
Le 21 : Avarie caténaire en sortie de la gare de Paris Montparnasse (63 TGV ; 2001’)
Le 21: incident caténaire consécutif à des projectiles sur la ligne grande vitesse entre Paris et Lyon (55 TGV ; 3200')",0.333333333,0.333333333,0,0.333333333,0,0,18,40.7777778,10,3,2017-06,33.33333333,33.33333333,0,33.33333333,0,0
2017,6,NANTES,STRASBOURG,316.1111111,54,0,6,21.5,2.907407407,,7,43.42857143,6.851851852,,0,1,0,0,0,0,7,43.4404762,4,2,2017-06,0,100,0,0,0,0
2017,3,PARIS EST,STRASBOURG,112.3394683,492,3,30,21.03333333,1.492842536,,34,24.88235294,2.08997955,,0.096774194,0.451612903,0.032258065,0.35483871,0.032258065,0.032258065,27,28.3,7,2,2017-03,9.677419355,45.16129032,3.225806452,35.48387097,3.225806452,3.225806452
2017,3,PARIS MONTPARNASSE,RENNES,131.1061947,566,1,27,17.14814815,0.722123894,,34,30.52941176,2.260176991,"Ce mois-ci, l 'OD a été touchée par:
Le 6 : Tempête Zeus sur tout l’Ouest de la France (150 TGV ; 8791’)
Le 6 : Dérangement de signalisation à la sortie de Paris (13 TGV ; 199’)
Le 7 : Incident caténaire à Rouvray sur la ligne grande vitesse (28 TGV ; 1369’)
Le 8 : Arrachement caténaire au niveau de Massy TGV (57 TGV ; 3343’)
Le 26 : Colis suspect à Massy TGV (16 TGV ; 650’)
Le 27 : Avarie matérielle sur un train de marchandise à Laval (25 TGV ; 1107’)",0.3,0.333333333,0.133333333,0.166666667,0.033333333,0.033333333,23,39.1,11,3,2017-03,30,33.33333333,13.33333333,16.66666667,3.333333333,3.333333333
2017,3,PARIS NORD,DUNKERQUE,120.7561837,284,1,17,23.47058824,1.45229682,,32,39.96875,5.360424028,"Imapact de la journée du 30 avec le déraillement de la régaleuse , mais aussi ce même jour un dérangement de zone à Arras -
Impact sur cet axe du carnaval de Dunkerque (semaine du 20 au 26 mars) , avec une perte brute de 15 trains suite LTV en apllication d'une consigne afférente aux csq du carnaval- On limite la vitesse des trains pour éviter les accidents de personnes",0.40625,0.375,0.0625,0.125,0.03125,0,27,45,14,8,2017-03,40.625,37.5,6.25,12.5,3.125,0
2017,3,DUNKERQUE,PARIS NORD,130.734375,258,2,5,21.8,0.50390625,,31,22.70967742,2.96484375,,0.269230769,0.192307692,0.230769231,0.230769231,0.038461538,0.038461538,15,34.1,5,1,2017-03,26.92307692,19.23076923,23.07692308,23.07692308,3.846153846,3.846153846
2017,5,AVIGNON TGV,PARIS LYON,158.9074074,541,1,146,17.2739726,5.348148148,,93,34.93548387,6.575925926,,0.3,0.244444444,0.255555556,0.166666667,0.033333333,0,69,42.7620773,39,9,2017-05,30,24.44444444,25.55555556,16.66666667,3.333333333,0
2016,9,STRASBOURG,PARIS EST,117.6152993,452,1,51,14.15686275,1.915742794,,33,23.18181818,1.580931264,,0.272727273,0.090909091,0.333333333,0.090909091,0.212121212,0,23,27.9130435,7,1,2016-09,27.27272727,9.090909091,33.33333333,9.090909091,21.21212121,0
2016,9,AIX EN PROVENCE TGV,PARIS LYON,186.172619,421,1,34,17.47058824,2.497619048,,25,32.08,1.935714286,,0.208333333,0.125,0.125,0.416666667,0.041666667,0.083333333,25,32.08,11,2,2016-09,20.83333333,12.5,12.5,41.66666667,4.166666667,8.333333333
2016,9,LILLE,MARSEILLE ST CHARLES,298.461165,206,0,12,13.33333333,1.334951456,,35,31.57142857,8.36407767,,0.088235294,0.176470588,0.205882353,0.205882353,0.205882353,0.117647059,35,31.5714286,8,3,2016-09,8.823529412,17.64705882,20.58823529,20.58823529,20.58823529,11.76470588
2016,9,FRANCFORT,PARIS EST,103.45,60,0,40,11.4,8.65,,9,20.22222222,6.283333333,,0.111111111,0,0.888888889,0,0,0,6,24.5,3,0,2016-09,11.11111111,0,88.88888889,0,0,0
2017,4,GRENOBLE,PARIS LYON,182.3828829,223,1,11,18.36363636,1.166666667,,20,23.15,1.882882883,,0.2,0.45,0.2,0.15,0,0,11,32.2409091,6,1,2017-04,20,45,20,15,0,0
2017,4,PARIS LYON,TOULON,234.4160305,268,6,25,17.16,1.721374046,,45,33.6,9.748091603,,0.272727273,0.204545455,0.204545455,0.25,0.022727273,0.045454545,45,33.55,18,5,2017-04,27.27272727,20.45454545,20.45454545,25,2.272727273,4.545454545
2017,4,PARIS LYON,LAUSANNE,220.7751938,129,0,5,25.6,1.255813953,,16,30.875,5.581395349,,0.125,0.0625,0.375,0.3125,0.0625,0.0625,14,33.3535714,3,3,2017-04,12.5,6.25,37.5,31.25,6.25,6.25
2017,2,PARIS LYON,ANNECY,224.5157895,190,0,7,21.77857143,0.55245614,,15,42.83333333,5.684210526,heurt d'une voiture à Claveyson + 2 dérangements de signalisation + 1 dérangement de zone,0.4,0.133333333,0.4,0.066666667,0,0,15,42.83333333,8,4,2017-02,40,13.33333333,40,6.666666667,0,0
2017,2,BELLEGARDE (AIN),PARIS LYON,162.8103448,232,0,32,12.04479167,2.730387931,,21,31.88809524,1.159123563,,0.15,0.3,0.3,0.1,0.05,0.1,15,39.57888889,6,3,2017-02,15,30,30,10,5,10
2017,2,DIJON VILLE,PARIS LYON,98.21882952,396,3,88,17.28068182,4.949915182,,38,31.45175439,2.342027142,,0.166666667,0.166666667,0.527777778,0.083333333,0.055555556,0,30,36.58555556,10,4,2017-02,16.66666667,16.66666667,52.77777778,8.333333333,5.555555556,0
2017,2,PARIS MONTPARNASSE,ST MALO,182.6956522,92,0,4,14.6625,0.549275362,,7,20.75714286,1.720833333,,0.142857143,0.285714286,0,0.428571429,0.142857143,0,3,32.15,1,0,2017-02,14.28571429,28.57142857,0,42.85714286,14.28571429,0
2017,2,DUNKERQUE,PARIS NORD,128.4915254,236,0,3,11.66666667,0.266949153,,9,21.29074074,0.865607345,,0.428571429,0.142857143,0.428571429,0,0,0,4,33.6375,2,0,2017-02,42.85714286,14.28571429,42.85714286,0,0,0
2017,8,PARIS MONTPARNASSE,LA ROCHELLE VILLE,168.2594142,239,0,16,15.75416667,1.056206416,,22,27.18181818,3.769874477,,0.142857143,0.238095238,0.238095238,0.095238095,0.047619048,0.238095238,17,31.58823529,5,1,2017-08,14.28571429,23.80952381,23.80952381,9.523809524,4.761904762,23.80952381
2017,8,MONTPELLIER,LYON PART DIEU,110.7220544,336,5,52,14.19262821,2.91082578,,106,25.37908805,10.42331319,évacuation de la gare de Lyon Part Dieu suite à la découverte de deux colis suspects dans le hall + décontrôle de l’aiguille à Valence,0.094594595,0.189189189,0.337837838,0.094594595,0.148648649,0.135135135,83,29.12128514,21,5,2017-08,9.459459459,18.91891892,33.78378378,9.459459459,14.86486486,13.51351351
2017,1,DUNKERQUE,PARIS NORD,122.0781893,246,3,3,14,0.267489712,,27,19.35555556,3.031687243,,0.260869565,0.173913043,0.47826087,0.086956522,0,0,13,27.82435897,4,1,2017-01,26.08695652,17.39130435,47.82608696,8.695652174,0,0
2017,1,PARIS LYON,DIJON VILLE,95.69130435,469,9,35,18.85190476,1.33134058,,43,25.90852713,2.927572464,,0.176470588,0.205882353,0.205882353,0.382352941,0.029411765,0,26,34.73141026,10,4,2017-01,17.64705882,20.58823529,20.58823529,38.23529412,2.941176471,0
2017,1,PARIS LYON,LAUSANNE,178.4139903,138,1,7,25.37142857,1.151581509,,14,35.92857143,5.670924574,,0.153846154,0.307692308,0.307692308,0.076923077,0.076923077,0.076923077,10,45.2,7,2,2017-01,15.38461538,30.76923077,30.76923077,7.692307692,7.692307692,7.692307692
2017,1,PARIS MONTPARNASSE,ANGOULEME,157.2334385,319,2,25,19.66333333,1.61661409,,27,37.15987654,3.288275499,,0.458333333,0.166666667,0.125,0.166666667,0.041666667,0.041666667,21,44.37222222,14,2,2017-01,45.83333333,16.66666667,12.5,16.66666667,4.166666667,4.166666667
2017,1,PARIS MONTPARNASSE,TOURS,74.97297297,186,1,10,17.08666667,0.942162162,,31,12.51935484,2.417837838,,0.4,0.05,0.2,0.25,0.05,0.05,6,29.90277778,2,0,2017-01,40,5,20,25,5,5
2017,9,STRASBOURG,PARIS EST,114.8210227,352,0,52,13.78846154,2.640909091,,34,21.82794118,1.988825758,,0.225806452,0.258064516,0.129032258,0.161290323,0.161290323,0.064516129,21,27.82619048,6,1,2017-09,22.58064516,25.80645161,12.90322581,16.12903226,16.12903226,6.451612903
2017,9,PARIS MONTPARNASSE,LE MANS,54.56775701,430,2,32,16.27760417,1.266082555,,63,20.06190476,3.404244548,,0.2,0.4,0.111111111,0.244444444,0.022222222,0.022222222,22,40.77424242,9,4,2017-09,20,40,11.11111111,24.44444444,2.222222222,2.222222222
2017,9,TOULOUSE MATABIAU,PARIS MONTPARNASSE,258.8994083,170,1,10,12.26666667,1.102465483,,14,39.47738095,5.207199211,,0,0.384615385,0.076923077,0.461538462,0,0.076923077,14,39.47738095,4,2,2017-09,0,38.46153846,7.692307692,46.15384615,0,7.692307692
2015,4,MARSEILLE ST CHARLES,LYON PART DIEU,101.421288,561,2,64,20.28125,2.676207513,,152,22.98026316,9.620751342,Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Avril.,0.14,0.473333333,0.14,0.093333333,0.113333333,0.04,83,31.4698795,23,7,2015-04,14,47.33333333,14,9.333333333,11.33333333,4
2017,12,QUIMPER,PARIS MONTPARNASSE,223.0418605,221,6,5,21,0.56744186,,25,38.71533333,7.686356589,"Ce mois-ci, cette OD a été touchée par: 
Les 3 et 4 : Dérangements des installations suites aux Travaux à Paris Montparnasse (232 TGV ; 15382’)
A partir du 4 : Rodage des nouvelles installations de Paris Montparnasse (53 TGV ; 723’)
Le 7 : Défaut de géométrie de la voie à Montrouge (46 TGV ; 1044’)
Le 11 : Coupure d’alimentation électrique en gare Montparnasse  (37 TGV ; 668’)
Le 11 : Tempêtes sur la région Pays de la Loire (35 TGV ; 969’)
Le 19 : Flash au niveau de la caténaire sur la LGV Bretagne Pays de Loire (22 TGV ; 814’)
Le 29 : Présence d’une personne dans les voies au niveau de Montrouge (35 TGV ; 853’)",0.142857143,0.428571429,0.071428571,0.285714286,0.071428571,0,25,7.686356589,13,3,2017-12,14.28571429,42.85714286,7.142857143,28.57142857,7.142857143,0
2017,12,PARIS LYON,ITALIE,400.3800347,97,1,9,30.91851852,3.238888889,,19,74.60526316,14.23958333,,0.176470588,0.176470588,0.352941176,0.294117647,0,0,19,14.23958333,13,8,2017-12,17.64705882,17.64705882,35.29411765,29.41176471,0,0
2015,2,STRASBOURG,PARIS EST,141.754717,429,5,47,11.93617021,1.818396226,,40,23.325,2.785377358,,0.171428571,0.371428571,0.228571429,0.142857143,0.057142857,0.028571429,28,27.7142857,7,2,2015-02,17.14285714,37.14285714,22.85714286,14.28571429,5.714285714,2.857142857
2015,2,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.5445545,101,0,2,11,0.356435644,,17,19.35294118,4.96039604,,0.125,0.125,0.4375,0.0625,0.0625,0.1875,10,24,1,0,2015-02,12.5,12.5,43.75,6.25,6.25,18.75
2015,2,POITIERS,PARIS MONTPARNASSE,106.7610619,455,3,65,13.04615385,2.818584071,,45,30.46666667,2.654867257,,0.275,0.425,0.2,0.075,0.025,0,26,43.5384615,11,5,2015-02,27.5,42.5,20,7.5,2.5,0
2015,2,LYON PART DIEU,MONTPELLIER,110.3348348,334,1,78,19.28205128,5.21021021,,69,31.94202899,8.702702703,Les travaux de raccordement du réseau actuel à la nouvelle ligne à grande vitesse (qui contournera Nîmes et Montpellier à partir de 2017) ont généré des ralentissements en février,0.227272727,0.242424242,0.212121212,0.181818182,0.075757576,0.060606061,45,42.2888889,22,10,2015-02,22.72727273,24.24242424,21.21212121,18.18181818,7.575757576,6.060606061
